Hãng sản xuất,Bộ nhớ trong_,Ram_,Chipset(CPU),man hinh,pin,Primary,Ultra_Wide,Telephoto,Giá
Samsung,128,4,Helio G85,6.7,5000,50,2,0,3090000
Apple,128,6,Apple A15 Bionic,6.1,3.279,12,12,0,25990000
INOI,256,8,Unisoc T606 (12 nm),7.0,5000,16,2,2,3390000
Apple,128,6,Apple A16 Bionic,6.1,3.200,48,12,12,31990000
Samsung,256,8,Snapdragon 8 Gen 2 for Galaxy,6.7,3700,12,12,0,25990000
Xiaomi,128,6,Snapdragon 680 4G (6 nm),11.0,8000,8,0,0,4990000
Samsung,256,8,Snapdragon 8 Gen 1 8 nhân,6.1,3700,50,10,12,23490000
Oppo,256,8,MediaTek Dimensity 900 5G,6.43,4500,64,8,2,12990000
Xiaomi,128,8,MediaTek MT6891Z Dimensity 1100 (6 nm),6.6,5000,64,8,2,Liên hệ
Xiaomi,32,2,MediaTek Helio G36,6.52,5000,8,0,0,2990000
Xiaomi,256,16,Snapdragon 8 Gen 3 (4 nm),6.67,5000,50,50,12,17990000
Xiaomi,128,8,MediaTek Dimensity 8100 (5 nm),6.6,5080,64,8,2,7990000
Realme,256,12,MediaTek MT6893 Dimensity 1200 (6 nm),6.43,4500,64,8,2,7450000
Samsung,256,8,Exynos 1380,6.4,5000,50,12,5,11490000
Xiaomi,256,12,Dimensity 8300 Ultra (4 nm),6.67,5500,64,8,2,9990000
Xiaomi,64,4,MediaTek MT6833 Dimensity 700 5G (7nm) 8 nhân,6.58,5000,13,0,0,4990000
Apple,128,6,Apple A16 Bionic,6.1,3.349,48,12,12,23990000
INOI,128,48,Unisoc T107,1.8,1000,8,0,0,Liên hệ
Realme,64,4,Unisoc T612,6.74,5000,13,0,0,2990000
Tecno,64,4,Unisoc T606 (12 nm),6.6,5000,13,8,0,2190000
Xiaomi,256,16,Mediatek Dimensity 9200+ (4 nm),6.67,5000,8,2,0,11990000
Oppo,256,8,Qualcomm SM6225 Snapdragon 680 4G (6 nm),6.43,4500,64,2,2,8990000
Apple,256,,Apple A15 Bionic,4.7,,12,0,0,Liên hệ
Realme,256,12,Snapdragon 7+ Gen 2,6.74,5500,64,8,2,8490000
Xiaomi,128,8,Qualcomm Snapdragon 870,6.67,4500,48,8,2,8450000
ZTE,64,4,Unisoc SC9863A,6.6,5000,13,2,0,2090000
Oppo,64,4,MediaTek Helio G35,6.52,4230,13,0,0,3690000
Xiaomi,128,4,Snapdragon 4 Gen 1,6.67,5000,48,2,0,4490000
Xiaomi,64,4,MediaTek Helio G99 (6nm),6.58,5000,50,2,2,3990000
Samsung,256,12,Snapdragon 888 (5nm),6.23,4400,12,0,0,41990000
Xiaomi,128,8,Qualcomm Snapdragon 685 (6 nm),6.67,5000,50,8,2,5990000
Xiaomi,128,6,Snapdragon 680 4G (6 nm),11.0,8000,8,0,0,5990000
Realme,256,12,Dimensity 7050 (6 nm),6.7,5000,100,2,0,7590000
Apple,512,6,Apple A16 Bionic,6.7,4.352,48,12,12,Liên hệ
Samsung,128,8,Snapdragon 778G 5G 8 nhân,6.7,5000,108,12,5,Liên hệ
Tecno,128,8,Helio G85 (12nm),6.6,5000,50,8,0,3490000
Samsung,64,4,Exynos 850 (8nm),6.5,5000,2,0,0,3790000
Xiaomi,256,8,MediaTek Helio G96 8 nhân,6.43,5000,108,8,2,6990000
Xiaomi,64,6,Qualcomm SM7150-AC Snapdragon 732G (8 nm),6.67,5160,64,13,2,Liên hệ
Xiaomi,128,8,Snapdragon 8 Gen 2 (4 nm),6.67,5000,54,8,2,Liên hệ
Apple,256,6,Apple A15 Bionic,6.7,,12,12,0,31990000
Xiaomi,,,MediaTek Dimensity 8 nhân,6.67,5000,108,2,0,Liên hệ
Xiaomi,512,12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.67,5000,108,8,2,11950000
Xiaomi,128,8,MediaTek Dimensity 1080 (6 nm),6.67,5000,8,2,0,7990000
Xiaomi,128,6,Snapdragon 695 5G 8 nhân,6.67,5000,108,8,2,Liên hệ
Xiaomi,256,8,Mediatek Dimensity 6080 (6 nm),6.67,5000,100,2,0,Liên hệ
Realme,512,12,Snapdragon 7+ Gen 2,6.74,5500,64,8,2,8990000
Realme,128,8,Snapdragon 695 5G 8 nhân,6.6,5000,50,2,2,Liên hệ
Xiaomi,256,12,Snapdragon 8 Gen 2 (4 nm),6.67,5000,54,8,2,Liên hệ
Xiaomi,256,12,Dimensity 8200 Ultra (4 nm),6.67,5000,50,50,12,12990000
Samsung,128,8,2 nhân 2.4 GHz & 6 nhân 2 GHz,6.4,5000,48,8,5,8490000
Xiaomi,256,8,Snapdragon 8 GEN 2,6.36,13.,50,10,12,Liên hệ
ZTE,512,12,Snapdragon 8 Gen 2 (4 nm),6.8,5000,64,64,50,Liên hệ
Realme,64,4,UNISOC T612,6.745,5000,50,0,0,Liên hệ
Vivo,256,12,Snapdragon 8s Gen 3 (4 nm),6.78,6000,50,8,0,8990000
Samsung,32,2,Unisoc T606 8 nhân,6.5,5000,48,2,0,2990000
ZTE,256,12,Snapdragon 8 Gen 3 (4 nm),6.8,6500,50,50,2,19990000
Xiaomi,256,12,Qualcomm Snapdragon 870,6.67,4500,48,8,2,7990000
Realme,256,8,Octa-core (1x2.8 GHz Cortex-A715 & 4x2.6 GHz Cortex-A715 & 3x1.9 GHz Cortex-A510),6.78,5500,50,8,0,7950000
Xiaomi,512,16,Mediatek Dimensity 9200+ (4 nm),6.67,5000,8,2,0,Liên hệ
Realme,64,4,Octa-core 1.6 GHz,6.5,5000,0,0,0,3190000
Apple,256,6,Apple A16 Bionic,6.7,4.352,48,12,12,Liên hệ
Realme,256,8,Snapdragon 695 5G 8 nhân,6.6,5000,50,2,2,Liên hệ
Samsung,128,4,Chip Exynos 850,6.6,5000,50,5,2,Liên hệ
Xiaomi,256,8,Snapdragon 7+ Gen 2,6.67,5000,64,8,2,7990000
Apple,128,6,Apple A15 Bionic,6.7,,12,12,0,28990000
Realme,256,8,Dimensity 7050 (6 nm),6.7,5000,100,2,0,6990000
Samsung,256,12,Exynos 2400,6.7,4900,50,10,12,26990000
Apple,128,6,Apple A16 Bionic,6.7,4.352,48,12,12,Liên hệ
Xiaomi,128,8,Mediatek Helio G88 (12nm),6.79,5000,50,8,2,4990000
Samsung,512,12,Snapdragon 8 Gen 3 (4 nm),6.3,4400,50,10,12,43990000
Xiaomi,256,12,Snapdragon 8 Gen 2 (4 nm),8.03,4800,50,10,10,34990000
Xiaomi,256,8,Dimensity 8300 Ultra (4 nm),6.67,5500,64,8,2,9990000
Xiaomi,256,8,Mediatek Dimensity 8200 (4 nm),6.67,5500,48,2,2,10990000
Samsung,512,12,Snapdragon 8 Gen 3 (4 nm),3.4,4000,50,12,0,32990000
Xiaomi,128,8,MediaTek Helio G95,6.43,5000,64,8,2,Liên hệ
Xiaomi,256,12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.67,5500,64,8,2,12990000
Xiaomi,512,12,Snapdragon 7s Gen 2,6.67,5100,200,8,2,6990000
Xiaomi,256,12,Dimensity 1080 (6 nm),6.67,5000,200,8,2,8990000
Xiaomi,64,4,MediaTek MT6769Z Helio G85 (12nm),6.71,5000,50,0,0,Liên hệ
Nokia,128,,Unisoc T107 (22 nm),2.4,1450,3,0,0,1790000
Samsung,64,4,Mediatek Helio P35,6.4,5000,2,0,0,3690000
Realme,256,12,MediaTek Dimensity 8100 (5 nm),6.7,5000,8,2,0,7190000
Samsung,128,6,Mediatek MT8781 Helio G99 (6nm),6.5,5000,50,5,2,6990000
Apple,64,4,Apple A14 Bionic (5nm),6.1,2815,12,0,0,Liên hệ
Xiaomi,128,8,Snapdragon 8 Gen 2 (4 nm),12.4,10000,50,2,0,17900000
Samsung,64,4,Helio G85,6.7,5000,50,2,0,3090000
Samsung,128,4,Snapdragon 680 4G,6.7,5000,50,2,2,3990000
ZTE,512,16,ualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),6.8,5000,50,8,2,21990000
Oppo,256,8,Qualcomm SM6375 Snapdragon 695 5G (6 nm),6.43,4500,64,2,2,10490000
Xiaomi,128,6,Helio G85 (12nm),6.74,5000,50,2,8,Liên hệ
Samsung,256,8,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),6.1,3900,50,10,12,24990000
INOI,128,4,Unisoc T310,6.5,5000,13,2,2,2990000
Xiaomi,256,12,Snapdragon 8 Gen 2 (4 nm),6.67,5000,50,8,2,12990000
Xiaomi,256,12,Mediatek Dimensity 9200+ (4 nm),6.67,5000,8,2,0,10990000
Tecno,256,8,Mediatek Helio G99 Ultimate,6.78,5000,50,2,0,6990000
Xiaomi,256,8,Qualcomm SM7150 Snapdragon 732G (8 nm),6.67,5000,108,2,2,7990000
Apple,128,,Apple A15,6.1,3240,12,0,0,24490000
Samsung,128,6,Mediatek Helio G80,6.4,5000,64,8,5,Liên hệ
Samsung,256,12,Snapdragon 8 Gen 1 8 nhân,6.8,5000,108,12,10,33990000
Xiaomi,256,8,Snapdragon 8 Gen 1 8 nhân,6.28,4500,50,13,5,Liên hệ
Apple,64,,Apple A15 Bionic,4.7,,12,0,0,Liên hệ
Xiaomi,512,16,Snapdragon 8 Gen 3 (4 nm),6.67,5000,50,50,12,19990000
Samsung,128,6,Exynos 1280 (5 nm),6.5,5000,50,8,2,6590000
Nokia,4,4,,1.77,800,0,0,0,420000
Samsung,512,12,Snapdragon 8 Gen 3 (4 nm),6.8,5000,200,50,10,37490000
Xiaomi,128,8,Snapdragon 695 5G 8 nhân,6.67,5000,108,8,2,8990000
Xiaomi,128,8,Qualcomm SM7350-AB Snapdragon 780G (5 nm),6.55,4250,0,0,0,Liên hệ
Xiaomi,512,12,Snapdragon 8 Gen 3,6.73,5000,50,50,50,32990000
Xiaomi,128,8,Mediatek Helio G99 Ultra,6.67,5000,200,8,2,7290000
Xiaomi,128,6,Mediatek MT6769Z Helio G85 (12nm),6.74,5000,50,2,8,3490000
Samsung,512,8,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),6.6,4700,50,10,12,29990000
Realme,64,3,Unisoc Tiger T612 (12 nm),6.74,5000,50,0,0,3990000
Samsung,128,6,2 nhân 2.4 GHz & 6 nhân 2 GHz,6.4,5000,48,8,5,8490000
Samsung,32,3,Helio P35,6.5,5000,50,2,0,Liên hệ
Realme,1,16,Snapdragon 7+ Gen 2,6.74,5500,64,8,2,9990000
Google,128,8,Google Tensor G3,6.1,4485,50,0,0,Liên hệ
